Company_Name,Rating,Review_Count,Industry,Headquarters
TCS,3.3,1.2L,IT Services & Consulting,Bengaluru
Accenture,3.7,76.2k,IT Services & Consulting,Bengaluru
Wipro,3.6,67.1k,IT Services & Consulting,Hyderabad
Cognizant,3.7,63.4k,IT Services & Consulting,Hyderabad
Capgemini,3.6,55.6k,IT Services & Consulting,Bengaluru
HDFC Bank,3.8,54.7k,Banking,Mumbai
Infosys,3.5,50.5k,IT Services & Consulting,Bengaluru
HCLTech,3.4,48.3k,IT Services & Consulting,Bengaluru
ICICI Bank,4.0,47.2k,Banking,Mumbai
Tech Mahindra,3.3,44.8k,IT Services & Consulting,Hyderabad
Genpact,3.6,44k,Analytics & KPO,Hyderabad
TP,3.9,40.2k,BPO,Mumbai
Axis Bank,3.6,34.6k,Banking,Mumbai
Jio,4.4,34.3k,Telecom,Mumbai
Concentrix Corporation,3.5,33.3k,BPO,Bengaluru
Amazon,3.9,32.8k,Internet,Bengaluru
Reliance Retail,3.9,28.1k,Retail,Mumbai
iEnergizer,4.5,27.9k,BPO,Noida
LTM Limited,3.6,27.4k,IT Services & Consulting,Bengaluru
HDB Financial Services,3.9,26.6k,NBFC,Mumbai
IBM,3.9,26.6k,IT Services & Consulting,Bengaluru
Larsen & Toubro Limited,3.9,24.8k,Engineering & Construction,Mumbai
Deloitte,3.6,24.4k,Management Consulting,Hyderabad
Kotak Mahindra Bank,3.6,23.3k,Banking,Mumbai
Reliance Industries,4.0,20.9k,Oil & Gas,Jamnagar
Vodafone Idea,3.9,18k,Telecom,Pune
Bharti Airtel,3.8,17.6k,Telecom,Gurugram
BYJU'S,3.2,16.4k,EdTech,Bengaluru
WNS,3.3,15.8k,IT Services & Consulting,Pune
IDFC FIRST Bank,4.0,15.7k,Banking,Mumbai
Ernst & Young,3.4,15.3k,Management Consulting,Bengaluru
IndusInd Bank,3.4,14.8k,Banking,Mumbai
AU Small Finance Bank,3.8,14.7k,Banking,Jaipur
Tata Motors,4.1,14.6k,Automobile,Pune
Bajaj Finserv,3.9,13.8k,NBFC,Pune
Flipkart,3.9,13.5k,Internet,Bengaluru
Muthoot FinCorp,4.5,13.5k,NBFC,Bengaluru
PwC,3.3,13.3k,Management Consulting,Bengaluru
Mahindra & Mahindra,4.0,12.6k,Automobile,Pune
HDFC Life,3.8,12.6k,Insurance,Mumbai
Infosys BPM,3.5,12.5k,BPO,Bengaluru
DXC Technology,3.6,12.3k,IT Services & Consulting,Bengaluru
Bandhan Bank,3.7,11.8k,Banking,Kolkata
Digitide Solutions,3.4,10.7k,IT Services & Consulting,Hyderabad
Yes Bank,3.7,10.6k,Banking,Mumbai
Mphasis,3.3,10.6k,IT Services & Consulting,Bengaluru
Tata Steel,4.0,10.3k,Iron & Steel,Jamshedpur
Quess,3.8,10.1k,Recruitment,Bengaluru
Asian Paints,3.9,10k,Chemicals,Mumbai
UltraTech Cement,4.1,9.9k,Building Material,Mumbai
Maruti Suzuki,4.1,9.9k,Automobile,Gurugram
Startek,3.0,9.9k,BPO,Bengaluru
Bajaj Finance,3.9,9.7k,NBFC,Pune
Paytm,3.2,9.7k,FinTech,Noida
Shriram Finance,3.9,9.5k,NBFC,Chennai
Sutherland Global Services,3.3,9.4k,BPO,Chennai
Equitas Small Finance Bank,4.3,9.2k,Banking,Chennai
Coforge,3.3,9.2k,IT Services & Consulting,Hyderabad
Wells Fargo,3.6,9.1k,Financial Services,Bengaluru
Cipla,4.1,8.9k,Pharma,Mumbai
EXL Service,3.6,8.9k,Analytics & KPO,Noida
Ericsson,3.9,8.6k,Telecom,Noida
Samsung,3.9,8.5k,Consumer Electronics & Appliances,Noida
Dr. Reddy's,4.0,8.5k,Pharma,Hyderabad
JSW Steel,3.9,8.3k,Iron & Steel,Ballari
Optum Global Solutions,4.0,8.3k,IT Services & Consulting,Hyderabad
Delhivery,3.8,8.2k,Logistics,Gurugram
JPMorgan Chase & Co.,3.8,8.1k,Financial Services,Bengaluru
ICICI Prudential Life Insurance,3.9,8k,Insurance,Mumbai
Hexaware Technologies,3.4,8k,IT Services & Consulting,Chennai
Ujjivan Small Finance Bank,4.0,8k,Banking,Bengaluru
Jana Small Finance Bank,3.7,7.9k,Banking,Bengaluru
Sun Pharmaceutical Industries,4.0,7.9k,Pharma,Vadodara
Zydus Lifesciences,4.0,7.9k,Pharma,Ahmedabad
Ekart Logistics,3.9,7.8k,Logistics,Bengaluru
HGS,3.7,7.7k,Emerging Technologies,Bengaluru
KPMG India,3.4,7.7k,Management Consulting,Bengaluru
Lupin,4.1,7.6k,Pharma,Pune
Amazon Development Centre India,3.8,7.6k,Internet,Hyderabad
Axis Max Life Insurance,4.0,7.6k,Insurance,New Delhi
ITC,3.8,7.4k,FMCG,Bengaluru
Hindustan Unilever,4.2,7.4k,FMCG,Mumbai
L&T Construction,4.0,7.4k,Engineering & Construction,Chennai
Megha Engineering & Infrastructures,3.9,7.2k,Engineering & Construction,Hyderabad
Tata Projects,4.2,7.1k,Engineering & Construction,Mumbai
Cholamandalam Investment & Finance,3.8,7k,Financial Services,Chennai
Bajaj Life Insurance,3.8,7k,Insurance,Pune
L&T Technology Services,3.1,6.9k,IT Services & Consulting,Bengaluru
FIS,3.7,6.8k,FinTech,Pune
Oracle,3.3,6.7k,Software Product,Bengaluru
Omega Healthcare,3.7,6.7k,BPO,Chennai
JLL,4.1,6.7k,Real Estate,Gurugram
Muthoot Finance,3.7,6.6k,NBFC,Bengaluru
eClerx,3.1,6.6k,IT Services & Consulting,Pune
IIFL Finance,4.0,6.6k,NBFC,Mumbai
Indian Army,4.7,6.5k,Defence & Aerospace,New Delhi
DMart,3.9,6.5k,Retail,Mumbai
PolicyBazaar,3.7,6.4k,Internet,Gurugram
Indiamart Intermesh,3.6,6.4k,Internet,Noida
Piramal Finance,4.2,6.4k,NBFC,Mumbai
Virtusa Consulting Services,3.6,6.3k,IT Services & Consulting,Hyderabad
HSBC Group,3.8,6.3k,Financial Services,Bengaluru
SMFG India Credit,3.9,6.2k,NBFC,Mumbai
Access Healthcare,3.7,6.2k,BPO,Chennai
HCL Group,3.5,6.1k,IT Services & Consulting,Chennai
BigBasket,3.9,6.1k,Internet,Bengaluru
Manappuram Finance,3.9,6.1k,NBFC,Bengaluru
GlobalLogic,3.5,6k,IT Services & Consulting,Hyderabad
ICICI Lombard General Insurance Company,3.5,6k,Insurance,Mumbai
Siemens,4.0,6k,Industrial Automation,Bengaluru
Firstsource Solutions,3.5,6k,BPO,Bengaluru
Apollo Hospitals,4.0,6k,Healthcare,Chennai
Aurobindo Pharma,4.0,6k,Pharma,Hyderabad
Shapoorji Pallonji Group,4.1,5.9k,Engineering & Construction,Mumbai
Tata Capital,4.0,5.9k,NBFC,Mumbai
Swiggy,3.7,5.9k,Internet,Bengaluru
UST,3.7,5.9k,IT Services & Consulting,Bengaluru
Standard Chartered,3.6,5.9k,Banking,Chennai
Mahindra Finance,3.8,5.9k,NBFC,Mumbai
Bosch Global Software Technologies,3.7,5.8k,IT Services & Consulting,Bengaluru
Udaan,3.9,5.8k,Internet,Bengaluru
Citicorp,3.6,5.7k,Financial Services,Pune
Ashok Leyland,4.0,5.7k,Automobile,Chennai
Hero MotoCorp,4.1,5.7k,Automobile,Gurugram
CGI Inc,4.0,5.6k,IT Services & Consulting,Bengaluru
Kalpataru Projects International,4.1,5.5k,Engineering & Construction,Mumbai
NTT DATA,3.8,5.5k,IT Services & Consulting,Bengaluru
SBI Cards & Payment Services,3.6,5.5k,Financial Services,Gurugram
Nagarjuna Construction Company,4.0,5.5k,Engineering & Construction,Hyderabad
IQVIA,3.7,5.5k,Clinical Research,Bengaluru
BNY,3.6,5.5k,Financial Services,Pune
Cyient,3.6,5.5k,IT Services & Consulting,Hyderabad
Schneider Electric,4.1,5.4k,Industrial Automation,Bengaluru
SBI Life Insurance Company,3.7,5.4k,Insurance,Mumbai
CBRE,4.1,5.3k,Real Estate,Hyderabad
JustDial,3.5,5.3k,Internet,Noida
TVS Motor,3.8,5.3k,Automobile,Hosur
Persistent Systems,3.6,5.3k,IT Services & Consulting,Pune
State Bank of India,3.9,5.3k,Banking,Mumbai
KEC International,4.0,5.2k,Engineering & Construction,Mumbai
ITC Infotech,3.8,5.2k,IT Services & Consulting,Bengaluru
Amdocs,3.6,5.1k,Software Product,Pune
Atos,3.8,5.1k,IT Services & Consulting,Pune
Utkarsh Small Finance Bank,3.6,5k,Banking,Varanasi
Varun Beverages,4.0,5k,Beverage,New Delhi
JBM Group,3.9,5k,Auto Components,Gurugram
vivo,4.0,5k,Consumer Electronics & Appliances,Noida
Lenskart,3.4,4.9k,Internet,New Delhi
Randstad,3.7,4.9k,Recruitment,Hyderabad
Ecom Express,4.1,4.9k,Logistics,Gurugram
Nagarro,3.9,4.9k,IT Services & Consulting,Gurugram
EY Global Delivery Services ( EY GDS),3.5,4.8k,IT Services & Consulting,Bengaluru
Hetero,3.9,4.8k,Pharma,Hyderabad
Intas Pharmaceuticals,4.1,4.8k,Pharma,Ahmedabad
Bosch,4.1,4.8k,Auto Components,Bengaluru
Havells,3.9,4.8k,Electrical Equipment,Noida
Eviden,3.6,4.8k,IT Services & Consulting,Pune
L&T Finance,3.9,4.8k,NBFC,Mumbai
Aditya Birla Fashion and Retail,4.1,4.8k,Fashion & Textile,Bengaluru
R1 RCM,3.8,4.8k,BPO,Hyderabad
Tata AIA Life Insurance,3.8,4.8k,Insurance,Mumbai
Hewlett Packard Enterprise,4.0,4.8k,IT Services & Consulting,Bengaluru
Cars24,3.5,4.7k,Internet,Gurugram
Mahindra Logistics,3.7,4.7k,Logistics,Mumbai
Berger Paints,3.7,4.7k,Chemicals,Kolkata
Deutsche Bank,3.8,4.6k,Banking,Pune
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru
Home Credit Finance,4.0,4.6k,NBFC,Gurugram
Motilal Oswal Financial Services,3.6,4.6k,Financial Services,Mumbai
TeamLease Services,3.9,4.6k,Recruitment,Bengaluru
VE Commercial Vehicles,3.9,4.6k,Automobile,Indore
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida
Thermax Limited,4.2,4.5k,Industrial Machinery,Pune
Jubilant Foods Works,3.7,4.5k,Hospitality,Noida
Macleods Pharmaceuticals,3.7,4.4k,Pharma,Mumbai
Carelon Global Solutions,3.9,4.4k,IT Services & Consulting,Bengaluru
Jindal Steel Limited,3.9,4.4k,Iron & Steel,Angul
Hindalco Industries,4.2,4.4k,Metals & Mining,Sambalpur
Aakash Educational Services,3.2,4.4k,Education & Training,New Delhi
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru
Bajaj Auto,3.8,4.3k,Automobile,Pune
LG Electronics,3.8,4.3k,Consumer Electronics & Appliances,Pune
DCB Bank,3.8,4.2k,Banking,Mumbai
HDFC ERGO General Insurance,3.9,4.2k,Insurance,Mumbai
RBL Bank,3.5,4.2k,Banking,Mumbai
Royal Enfield,4.2,4.2k,Automobile,Chennai
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur
Cloudnine Hospital,4.5,4.2k,Healthcare,Bengaluru
John Deere,4.0,4.2k,Industrial Machinery,Pune
Publicis Sapient,3.2,4.1k,IT Services & Consulting,Bengaluru
